{'姓名': '安喜县吏', '拼音': 'ān-xǐ-xiàn-lì', '效忠势力': '东汉', '性别': '男', '是否虚构': '虚构人物', '字': None, '生卒': None, '古代籍贯': None, '现代籍贯': None, '介绍': '刘备任安喜县尉时，督邮到县巡视并向刘备索贿，刘备拒绝。督邮于是威逼该县吏陷害刘备，县吏不从，由此发生了张飞怒打督邮的事件。'}
{'姓名': '鲍信', '拼音': 'bào-xìn', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '152 - 192', '古代籍贯': '兖州泰山郡平阳', '现代籍贯': '山东泰安市新泰', '介绍': '后军校尉鲍信求见袁绍，说董卓有异心，劝袁绍除之，袁绍不同意，鲍信又找王允商量，王允也不同意，鲍信于是引本部军兵投泰山。后以济北相身份参加讨伐董卓的义军，鲍信因为怕孙坚抢头功，暗中令其弟鲍忠出战。结果鲍忠为华雄所杀。李傕等人控制朝廷后，以献帝名义命曹操与鲍信镇压青州黄巾起义，于是两人在寿张迎击黄巾军，鲍信深入重地，为敌所杀。'}
{'姓名': '鲍忠', '拼音': 'bào-zhōng', '效忠势力': '东汉', '性别': '男', '是否虚构': '虚构人物', '字': None, '生卒': None, '古代籍贯': '兖州泰山郡平阳', '现代籍贯': '山东泰安市新泰', '介绍': '汉济北相鲍信之弟。诸侯讨董卓，以孙坚为前部。众诸侯内有济北相鲍信，寻思坚既为前部，怕他夺了头功，暗拨其弟鲍忠，先将马步军三千，径抄小路，直到关下搦战。卓将华雄引铁骑五百，飞下关来，大喝：“贼将休走！”忠急待退，被雄手起刀落，斩于马下，生擒将校极多。雄遣人赍忠首级来相府报捷，卓加雄为都督。'}
{'姓名': '卑衍', '拼音': 'bēi-yǎn', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - 238', '古代籍贯': None, '现代籍贯': None, '介绍': '公孙渊大将军。渊反，令衍为元帅，杨祚为先锋，起辽兵十五万，杀奔中原来。渊令卑衍，杨祚分八万兵屯于辽隧，围堑二十余里，环绕鹿角，甚是严密。胡遵令人报知司马懿。懿命向襄平进发，衍与杨祚急来救时，中了埋伏。左有夏侯霸、右有夏侯威，一齐杀出。卑、杨二人，无心恋战，夺路而走；奔至首山，正逢公孙渊兵到，合兵一处，回马再与魏兵交战。衍出马骂曰：“贼将休使诡计！汝敢出战否？”夏侯霸纵马挥刀来迎。战不数合，被夏侯霸一刀斩卑衍于马下，辽兵大乱。'}
{'姓名': '边鸿', '拼音': 'biān-hóng', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - ？', '古代籍贯': None, '现代籍贯': None, '介绍': '演义中误记为边洪。却说孙权弟孙翊为丹阳太守。丹阳督将妫览、郡丞戴员，二人常有杀翊之心；乃与翊从人边洪结为心腹，共谋杀翊。时诸将县令皆集丹阳，翊设宴相待。翊妻徐氏美而慧，极善卜《易》，是日卜一卦，其象大凶，劝翊勿出会客。翊不从，遂与众大会。至晚席散，边洪带刀跟出门外，即抽刀砍死孙翊。妫览、戴员乃归罪边洪，斩之于市。'}
{'姓名': '边让', '拼音': 'biān-ràng', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': '文礼', '生卒': '？ - 194', '古代籍贯': '兖州陈留郡浚仪', '现代籍贯': '河南开封市', '介绍': '在陈琳讨曹操檄文中提到此人。'}
{'姓名': '蔡邕', '拼音': 'cài-yōng', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': '伯喈', '生卒': '132 - 192', '古代籍贯': '兖州陈留郡圉', '现代籍贯': '河南开封市杞县南二十五公里', '介绍': '后汉侍郎。因上书十常侍乱政而削职回乡。因董卓赏识其才能，不得已而为董卓效力，卓待之甚厚，一月三迁其官。卓亡，被王允认为是董卓一党，下狱杀之。'}
{'姓名': '曹豹', '拼音': 'cáo-bào', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - 196', '古代籍贯': None, '现代籍贯': None, '介绍': '刘备部将。初为陶谦将，曹公攻徐州，豹劝谦迎战。夏侯惇赶来，豹挺枪跃马，前来迎敌。两马相交，忽然狂风大作，飞沙走石，两军皆乱，各自收兵。后仕先主，女妻吕布。备讨袁术，留张飞守徐州，飞设宴请各官赴席。把酒至曹豹面前，豹只饮一杯，飞并怒其为吕布丈人，鞭豹至五十。豹深恨飞，阴与布谋，引布夺徐州，飞逃。豹见飞只十数人护从，又欺他醉，遂引百十人赶来。飞见豹，大怒，拍马来迎。战了三合，豹败走，飞赶到河边，一枪正刺中豹后心，连人带马，死于河中。'}
{'姓名': '曹操叔父', '拼音': 'cáo-cāo-shū-fù', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - ？', '古代籍贯': '豫州沛国谯', '现代籍贯': '安徽亳州市亳县', '介绍': '历史上未记载其名，演义中曹操第一次出场，介绍曹操身世时，提到了与其叔父有关的事。操幼时好游猎，喜歌舞，有权谋，多机变。操有叔父，见操游荡无度，尝怒之，言于曹嵩。嵩责操。操忽心生一计，见叔父来，诈倒于地，作中风之状。叔父惊告嵩，嵩急视之，操故无恙。嵩曰：“叔言汝中风，今已愈乎？”操曰：“儿自来无此病，因失爱于叔父，故见罔耳。”嵩信其言。后叔父但言操过，嵩并不听。因此，操得恣意放荡。'}
{'姓名': '曹德', '拼音': 'cáo-dé', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - 193', '古代籍贯': '豫州沛国谯', '现代籍贯': '安徽亳州市亳县', '介绍': '曹嵩之弟，跟随曹嵩往兖州的路上被张闿杀死。'}
{'姓名': '曹节[东汉]', '拼音': 'cáo-jié', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': '汉丰', '生卒': '？ - 181', '古代籍贯': '荆州南阳郡新野', '现代籍贯': '河南南阳市新野县', '介绍': '中常侍。同张让、赵忠、段珪等为“十常侍”，为灵帝所宠。节等专权乱政、卖官索财，朝野皆痛恨之。及灵帝崩，大将军何进欲杀宦官，让、节等阴结何太后，招进入宫，斩杀之。进部将袁绍引兵攻之，尽诛节等。'}
{'姓名': '曹氏[吕布妻]', '拼音': 'cáo-shì', '效忠势力': '东汉', '性别': '女', '是否虚构': '虚构人物', '字': None, '生卒': None, '古代籍贯': None, '现代籍贯': None, '介绍': '原来吕布有二妻一妾,先娶严氏为正妻，后娶貂蝉为妾；居小沛时，又娶曹豹之女为次妻。曹氏先亡无出，貂蝉亦无所出，惟严氏生一女，布最钟爱。'}
{'姓名': '曹嵩', '拼音': 'cáo-sōng', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': '巨高', '生卒': '？ - 193', '古代籍贯': '豫州沛国谯', '现代籍贯': '安徽亳州市亳县', '介绍': '曹操之父。本姓夏侯氏，因继与中常侍曹腾，故冒姓曹。后嵩自陈留避难，隐居琅琊。及子操得青州，取父及家人，徐州牧陶谦遣部将张闿护送，闿贪其钱财，尽杀嵩家。'}
{'姓名': '曹腾', '拼音': 'cáo-téng', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': '季兴', '生卒': '？ - ？', '古代籍贯': '豫州沛国谯', '现代籍贯': '安徽亳州市亳县', '介绍': '中常侍。收曹操之父曹嵩为养子。'}
